Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CAMAÇARI PÓLO DE APOIO I;Fuel oil TPP;-12.691061;-38.311145;0.135342;0.74898;0.442161;1.82646;2.20752;2.01699;0.068328;6.8328;3.450564;0.023652;0.187902;0.105777;0.0034164;0.0337698;0.0185931;336.0555;726.593;531.32425
TERMOPARAÍBA;Fuel oil TPP;-7.096830;-34.857626;0.154156343;0.853098206;0.503627274;2.080362293;2.514394714;2.297378503;0.077826503;7.782650304;3.930238404;0.026939943;0.214022883;0.120481413;0.003891325;0.038464252;0.021177789;382.7716952;727.593;555.1823476
GLOBAL II;Fuel oil TPP;-12.675504;-38.538919;0.134259264;0.74298816;0.438623712;1.81184832;2.18985984;2.00085408;0.067781376;6.7781376;3.422959488;0.023462784;0.186398784;0.104930784;0.003389069;0.033499642;0.018444355;333.367056;728.593;530.980028
TERMONORDESTE;Fuel oil TPP;-7.077273;-34.857021;0.154156343;0.853098206;0.503627274;2.080362293;2.514394714;2.297378503;0.077826503;7.782650304;3.930238404;0.026939943;0.214022883;0.120481413;0.003891325;0.038464252;0.021177789;382.7716952;729.593;556.1823476
GLOBAL I;Fuel oil TPP;-12.670814;-38.536515;0.134259264;0.74298816;0.438623712;1.81184832;2.18985984;2.00085408;0.067781376;6.7781376;3.422959488;0.023462784;0.186398784;0.104930784;0.003389069;0.033499642;0.018444355;333.367056;730.593;531.980028
MARACANAÚ I;Fuel oil TPP;-3.854531;-38.617319;0.15158304;0.8388576;0.49522032;2.0456352;2.4724224;2.2590288;0.07652736;7.652736;3.86463168;0.02649024;0.21045024;0.11847024;0.003826368;0.037822176;0.020824272;376.38216;731.593;553.98758
VIANA;Fuel oil TPP;-20.365227;-40.433066;0.157538088;0.87181272;0.514675404;2.12599944;2.56955328;2.34777636;0.079533792;7.9533792;4.016456496;0.027530928;0.218717928;0.123124428;0.00397669;0.039308047;0.021642368;391.168602;732.593;561.880801
GERAMAR II (ANTIGA NOVA OLINDA);Fuel oil TPP;-3.554679;-44.582989;0.149661184;0.828222084;0.488941634;2.019699468;2.441075616;2.230387542;0.075557102;7.55571024;3.815633671;0.026154382;0.207782032;0.116968207;0.003777855;0.037342645;0.02056025;371.6101719;733.593;552.601586
GERAMAR I (ANTIGA TOCANTINÓPOLIS);Fuel oil TPP;-3.562070;-44.581028;0.149661184;0.828222084;0.488941634;2.019699468;2.441075616;2.230387542;0.075557102;7.55571024;3.815633671;0.026154382;0.207782032;0.116968207;0.003777855;0.037342645;0.02056025;371.6101719;734.593;553.101586
SUAPE II;Fuel oil TPP;-8.294746;-35.031216;0.344002371;1.903702439;1.123852405;4.642362088;5.610912451;5.126637269;0.1736711;17.36710997;8.770390534;0.060116919;0.477595524;0.268856222;0.008683555;0.085833601;0.047258578;854.1612258;735.593;794.8771129
MRN UG II;Fuel oil TPP;-1.747055;-55.876341;0.041324424;0.22868856;0.135006492;0.55767912;0.67402944;0.61585428;0.020862816;2.0862816;1.053572208;0.007221744;0.057372744;0.032297244;0.001043141;0.010311046;0.005677093;102.608946;736.593;419.600973
PERNAMBUCO III;Fuel oil TPP;-7.851113;-34.906701;0.181168801;1.002584628;0.591876715;2.444899356;2.954986272;2.699942814;0.091463861;9.14638608;4.61892497;0.031660567;0.251525617;0.141593092;0.004573193;0.045204254;0.024888724;449.8438923;737.593;593.7184462
