Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
LAFARGE BRASIL S.A 05 - MG;Portland cement;-19.530527;-44.093638;0.132222222;151.7522222;75.94222222
LAFARGE BRASIL S.A 06 - MG;Portland cement;-16.704932;-43.894976;0.132222222;151.7522222;75.94222222
LAFARGE BRASIL S.A 07 - MG;Portland cement;-20.293813;-45.551920;0.132222222;151.7522222;75.94222222
LAFARGE BRASIL S.A 08 - RJ;Portland cement;-21.979968;-42.362822;0.132222222;151.7522222;75.94222222
LAFARGE BRASIL S.A 09 - SP;Portland cement;-23.995618;-48.866156;0.132222222;151.7522222;75.94222222
CIA DE CIMENTOS ITAMBÉ - PR;Portland cement;-25.576212;-49.644689;0.221;253.643;126.932
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 01 - BA;Portland cement;-14.186072;-41.666985;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 02 -SP;Portland cement;-24.702021;-48.116842;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 03 - BA;Portland cement;-10.517069;-40.329912;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 04 - RS;Portland cement;-31.307315;-54.111791;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 05 -GO;Portland cement;-16.976296;-49.769378;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 06 - PB;Portland cement;-7.161428;-34.921599;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 07 - RS;Portland cement;-29.845837;-51.268496;0.267877436;307.4445093;153.8561934
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 08 -AL;Portland cement;-9.773040;-36.109813;0.267877436;307.4445093;153.8561934
CIMENTOS NASSAU 01 - PI;Portland cement;-7.080009;-40.468117;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 02 -MA;Portland cement;-4.475265;-43.883534;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 03 -RN;Portland cement;-5.123838;-37.279412;0.120888889;138.7448889;69.43288889
CIMENTOS NASSAU 03 -PE;Portland cement;-8.011154;-34.909033;0.120888889;138.7448889;69.43288889
