Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year)
CIPLAN CIMENTO 08 -TO;Portland cement;-10.251419;-48.316118;0.42;0.74;0.58
CIPLAN CIMENTO 09 -MA;Portland cement;-2.577543;-44.184681;0.42;0.74;0.58
CIPLAN CIMENTO 10 -CE;Portland cement;-3.821836;-38.534104;0.42;0.74;0.58
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 01 - SP;Portland cement;-24.520263;-48.857340;6.79;11.96333333;9.376666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 02 - MS;Portland cement;-20.539534;-56.712387;6.79;11.96333333;9.376666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;6.79;11.96333333;9.376666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;6.79;11.96333333;9.376666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;6.79;11.96333333;9.376666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;6.79;11.96333333;9.376666667
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.016052167;0.032104333;0.02407825
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.016052167;0.032104333;0.02407825
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.016052167;0.032104333;0.02407825
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;0.287925;0.57585;0.4318875
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;0.287925;0.57585;0.4318875
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;0.287925;0.57585;0.4318875
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;0.287925;0.57585;0.4318875
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;0.287925;0.57585;0.4318875
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;0.287925;0.57585;0.4318875
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;0.287925;0.57585;0.4318875
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;0.287925;0.57585;0.4318875
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;0.135103333;0.270206667;0.202655
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;0.135103333;0.270206667;0.202655
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;0.135103333;0.270206667;0.202655
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;0.195173;0.390346;0.2927595
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.044020412;0.088040824;0.066030618
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.044020412;0.088040824;0.066030618
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.044020412;0.088040824;0.066030618
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.044020412;0.088040824;0.066030618
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.044020412;0.088040824;0.066030618
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.044020412;0.088040824;0.066030618
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.044020412;0.088040824;0.066030618
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;0.044020412;0.088040824;0.066030618
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;0.044020412;0.088040824;0.066030618
KLABIN 11 - SP;Paper and cellulose;-23.172452;-46.929145;0.044020412;0.088040824;0.066030618
KLABIN 12 - SC;Paper and cellulose;-27.802817;-50.362837;0.044020412;0.088040824;0.066030618
KLABIN 13 - SC;Paper and cellulose;-27.751155;-50.337534;0.044020412;0.088040824;0.066030618
KLABIN 14 - PR;Paper and cellulose;-24.306558;-50.610461;0.044020412;0.088040824;0.066030618
KLABIN 15 - SC;Paper and cellulose;-27.512968;-50.116357;0.044020412;0.088040824;0.066030618
KLABIN 16 - SP;Paper and cellulose;-22.687395;-47.674515;0.044020412;0.088040824;0.066030618
KLABIN 17 - MG;Paper and cellulose;-20.421737;-42.899126;0.044020412;0.088040824;0.066030618
KLABIN 18 - RS;Paper and cellulose;-29.782408;-51.119724;0.044020412;0.088040824;0.066030618
LWARCEL - SP;Paper and cellulose;-22.570501;-48.776750;0.1115055;0.223011;0.16725825
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.539539;-46.270172;0.03271275;0.0654255;0.049069125
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.370477;-46.759478;0.03271275;0.0654255;0.049069125
NOBRECEL - SP;Paper and cellulose;-22.899835;-45.349155;0.030897;0.061794;0.0463455
