Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;0.136773504;0.175851648;0.156312576;NA;NA;NA;NA;NA;NA;0.156312576;2.286071424;1.221192;0.00011235;0.000146543;0.000129446;175.3631712;228.6071424;201.9851568
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;0.00774144;0.00995328;0.00884736;NA;NA;NA;NA;NA;NA;0.00884736;0.12939264;0.06912;6.35904E-06;8.2944E-06;7.32672E-06;9.925632;12.939264;11.432448
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;0.11354112;0.14598144;0.12976128;NA;NA;NA;NA;NA;NA;0.12976128;1.89775872;1.01376;9.32659E-05;0.000121651;0.000107459;145.575936;189.775872;167.675904
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;0.1177344;0.1513728;0.1345536;NA;NA;NA;NA;NA;NA;0.1345536;1.9678464;1.0512;9.67104E-05;0.000126144;0.000111427;150.95232;196.78464;173.86848
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;0.10144512;0.13042944;0.11593728;NA;NA;NA;NA;NA;NA;0.11593728;1.69558272;0.90576;8.33299E-05;0.000108691;9.60106E-05;130.067136;169.558272;149.812704
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;0.06386688;0.08211456;0.07299072;NA;NA;NA;NA;NA;NA;0.07299072;1.06748928;0.57024;5.24621E-05;6.84288E-05;6.04454E-05;81.886464;106.748928;94.317696
J PILON;Bagasse TPP;-23.171224;-47.746025;0.00612864;0.00787968;0.00700416;NA;NA;NA;NA;NA;NA;0.00700416;0.10243584;0.05472;5.03424E-06;6.5664E-06;5.80032E-06;7.857792;10.243584;9.050688
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;0.04064256;0.05225472;0.04644864;NA;NA;NA;NA;NA;NA;0.04644864;0.67931136;0.36288;3.3385E-05;4.35456E-05;3.84653E-05;52.109568;67.931136;60.020352
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;0.02532096;0.03255552;0.02893824;NA;NA;NA;NA;NA;NA;0.02893824;0.42322176;0.22608;2.07994E-05;2.71296E-05;2.39645E-05;32.465088;42.322176;37.393632
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;0.0129024;0.0165888;0.0147456;NA;NA;NA;NA;NA;NA;0.0147456;0.2156544;0.1152;1.05984E-05;0.000013824;1.22112E-05;16.54272;21.56544;19.05408
FURLAN;Bagasse TPP;-22.763612;-47.411725;0.00580608;0.00746496;0.00663552;NA;NA;NA;NA;NA;NA;0.00663552;0.09704448;0.05184;4.76928E-06;6.2208E-06;5.49504E-06;7.444224;9.704448;8.574336
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;0.0677376;0.0870912;0.0774144;NA;NA;NA;NA;NA;NA;0.0774144;1.1321856;0.6048;5.56416E-05;0.000072576;6.41088E-05;86.84928;113.21856;100.03392
RUETTE;Bagasse TPP;-21.044503;-48.720099;0.0451584;0.0580608;0.0516096;NA;NA;NA;NA;NA;NA;0.0516096;0.7547904;0.4032;3.70944E-05;0.000048384;4.27392E-05;57.89952;75.47904;66.68928
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;0.00487872;0.00627264;0.00557568;NA;NA;NA;NA;NA;NA;0.00557568;0.08154432;0.04356;4.00752E-06;5.2272E-06;4.61736E-06;6.255216;8.154432;7.204824
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;0.00677376;0.00870912;0.00774144;NA;NA;NA;NA;NA;NA;0.00774144;0.11321856;0.06048;5.56416E-06;7.2576E-06;6.41088E-06;8.684928;11.321856;10.003392
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;0.02386944;0.03068928;0.02727936;NA;NA;NA;NA;NA;NA;0.02727936;0.39896064;0.21312;1.9607E-05;2.55744E-05;2.25907E-05;30.604032;39.896064;35.250048
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;0.0068544;0.0088128;0.0078336;NA;NA;NA;NA;NA;NA;0.0078336;0.1145664;0.0612;5.6304E-06;0.000007344;6.4872E-06;8.78832;11.45664;10.12248
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;0.0064512;0.0082944;0.0073728;NA;NA;NA;NA;NA;NA;0.0073728;0.1078272;0.0576;5.2992E-06;0.000006912;6.1056E-06;8.27136;10.78272;9.52704
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;0.00516096;0.00663552;0.00589824;NA;NA;NA;NA;NA;NA;0.00589824;0.08626176;0.04608;4.23936E-06;5.5296E-06;4.88448E-06;6.617088;8.626176;7.621632
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;0.112896;0.145152;0.129024;NA;NA;NA;NA;NA;NA;0.129024;1.886976;1.008;0.000092736;0.00012096;0.000106848;144.7488;188.6976;166.7232
UNIALCO;Bagasse TPP;-21.264410;-50.636443;0.00580608;0.00746496;0.00663552;NA;NA;NA;NA;NA;NA;0.00663552;0.09704448;0.05184;4.76928E-06;6.2208E-06;5.49504E-06;7.444224;9.704448;8.574336
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;0.0467712;0.0601344;0.0534528;NA;NA;NA;NA;NA;NA;0.0534528;0.7817472;0.4176;3.84192E-05;0.000050112;4.42656E-05;59.96736;78.17472;69.07104
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;0.0532224;0.0684288;0.0608256;NA;NA;NA;NA;NA;NA;0.0608256;0.8895744;0.4752;4.37184E-05;0.000057024;5.03712E-05;68.23872;88.95744;78.59808
MANDU;Bagasse TPP;-20.324892;-48.283319;0.145152;0.186624;0.165888;NA;NA;NA;NA;NA;NA;0.165888;2.426112;1.296;0.000119232;0.00015552;0.000137376;186.1056;242.6112;214.3584
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;0.10450944;0.13436928;0.11943936;NA;NA;NA;NA;NA;NA;0.11943936;1.74680064;0.93312;8.5847E-05;0.000111974;9.89107E-05;133.996032;174.680064;154.338048
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;0.068544;0.088128;0.078336;NA;NA;NA;NA;NA;NA;0.078336;1.145664;0.612;0.000056304;0.00007344;0.000064872;87.8832;114.5664;101.2248
PANTANAL;Bagasse TPP;-15.934350;-54.962518;0.008064;0.010368;0.009216;NA;NA;NA;NA;NA;NA;0.009216;0.134784;0.072;0.000006624;0.00000864;0.000007632;10.3392;13.4784;11.9088
JACIARA;Bagasse TPP;-15.976043;-54.950845;0.00451584;0.00580608;0.00516096;NA;NA;NA;NA;NA;NA;0.00516096;0.07547904;0.04032;3.70944E-06;4.8384E-06;4.27392E-06;5.789952;7.547904;6.668928
BAZAN;Bagasse TPP;-21.007754;-48.035624;0.01645056;0.02115072;0.01880064;NA;NA;NA;NA;NA;NA;0.01880064;0.27495936;0.14688;1.3513E-05;1.76256E-05;1.55693E-05;21.091968;27.495936;24.293952
