Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
ITACOATIARA;Diesel TPP;-3.122047;-58.440624;0.545059464;2.697582432;1.621320948;0.290082494;0.909048326;0.59956541;0.243891014;0.618965832;0.431428423;0.029562547;0.079449346;0.054505946;7.63083E-11;0.079449346;0.039724673;47.25388404;130.3689855;88.81143477
NOVA BURITIS;Diesel TPP;-10.221932;-63.838957;0.488258748;2.416467024;1.452362886;0.259852961;0.814316285;0.537084623;0.218475101;0.554463324;0.386469212;0.02648183;0.071169919;0.048825875;6.83562E-11;0.071169919;0.03558496;42.32955078;116.7832169;79.55638386
RIO BRANCO I;Diesel TPP;-9.988190;-67.816849;0.480842094;2.379760872;1.430301483;0.255905792;0.801946814;0.528926303;0.215156462;0.546041022;0.380598742;0.026079571;0.070088848;0.048084209;6.73179E-11;0.070088848;0.035044424;41.68656459;115.009279;78.3479218
TEFÉ;Diesel TPP;-3.360214;-64.719116;0.44564529;2.20556652;1.325605905;0.237173934;0.743245704;0.490209819;0.199407384;0.50607177;0.352739577;0.024170592;0.064958466;0.044564529;6.23903E-11;0.064958466;0.032479233;38.63518065;106.5908001;72.61299035
CIDADE NOVA;Diesel TPP;-3.079559;-60.081807;0.4031352;1.9951776;1.1991564;0.21454992;0.67234752;0.44344872;0.18038592;0.4577976;0.31909176;0.02186496;0.05876208;0.04031352;5.64389E-11;0.05876208;0.02938104;34.949772;96.42310704;65.68643952
CAUCAIA;Diesel TPP;-3.729635;-38.647407;0.38142792;1.88774496;1.13458644;0.202997232;0.636144192;0.419570712;0.170672832;0.43314696;0.301909896;0.020687616;0.055597968;0.038142792;5.33999E-11;0.055597968;0.027798984;33.0678612;91.23109358;62.14947739
IGUATU;Diesel TPP;-6.365816;-39.322222;0.38142792;1.88774496;1.13458644;0.202997232;0.636144192;0.419570712;0.170672832;0.43314696;0.301909896;0.020687616;0.055597968;0.038142792;5.33999E-11;0.055597968;0.027798984;33.0678612;91.23109358;62.14947739
JUAZEIRO DO NORTE;Diesel TPP;-7.238327;-39.306693;0.38142792;1.88774496;1.13458644;0.202997232;0.636144192;0.419570712;0.170672832;0.43314696;0.301909896;0.020687616;0.055597968;0.038142792;5.33999E-11;0.055597968;0.027798984;33.0678612;91.23109358;62.14947739
ENGUIA PECÉM;Diesel TPP;-3.612023;-38.966827;0.38142792;1.88774496;1.13458644;0.202997232;0.636144192;0.419570712;0.170672832;0.43314696;0.301909896;0.020687616;0.055597968;0.038142792;5.33999E-11;0.055597968;0.027798984;33.0678612;91.23109358;62.14947739
MACHADINHO DO OESTE;Diesel TPP;-9.429710;-61.906695;0.344396334;1.704469992;1.024433163;0.183288896;0.574383038;0.378835967;0.154102766;0.391094142;0.272598454;0.018679123;0.050200144;0.034439633;4.82155E-11;0.050200144;0.025100072;29.85741099;82.37376587;56.11558843
ALTOS;Diesel TPP;-5.045332;-42.467325;0.33904704;1.67799552;1.00852128;0.180441984;0.565461504;0.372951744;0.151709184;0.38501952;0.268364352;0.018388992;0.049420416;0.033904704;4.74666E-11;0.049420416;0.024710208;29.3936544;81.09430541;55.2439799
CAMPO MAIOR;Diesel TPP;-4.825288;-42.186023;0.33904704;1.67799552;1.00852128;0.180441984;0.565461504;0.372951744;0.151709184;0.38501952;0.268364352;0.018388992;0.049420416;0.033904704;4.74666E-11;0.049420416;0.024710208;29.3936544;81.09430541;55.2439799
CRATO;Diesel TPP;-7.240891;-39.420606;0.33904704;1.67799552;1.00852128;0.180441984;0.565461504;0.372951744;0.151709184;0.38501952;0.268364352;0.018388992;0.049420416;0.033904704;4.74666E-11;0.049420416;0.024710208;29.3936544;81.09430541;55.2439799
MARAMBAIA;Diesel TPP;-5.158406;-42.757533;0.33904704;1.67799552;1.00852128;0.180441984;0.565461504;0.372951744;0.151709184;0.38501952;0.268364352;0.018388992;0.049420416;0.033904704;4.74666E-11;0.049420416;0.024710208;29.3936544;81.09430541;55.2439799
NAZÁRIA;Diesel TPP;-5.066078;-42.791179;0.33904704;1.67799552;1.00852128;0.180441984;0.565461504;0.372951744;0.151709184;0.38501952;0.268364352;0.018388992;0.049420416;0.033904704;4.74666E-11;0.049420416;0.024710208;29.3936544;81.09430541;55.2439799
PIMENTA BUENO;Diesel TPP;-11.697414;-61.177868;0.335946;1.662648;0.999297;0.1787916;0.5602896;0.3695406;0.1503216;0.381498;0.2659098;0.0182208;0.0489684;0.0335946;4.70324E-11;0.0489684;0.0244842;29.12481;80.3525892;54.7386996
HUMAITÁ;Diesel TPP;-7.519660;-63.041588;0.33413706;1.65369528;0.99391617;0.177828876;0.557272656;0.367550766;0.149512176;0.37944378;0.264477978;0.018122688;0.048704724;0.033413706;4.67792E-11;0.048704724;0.024352362;28.9679841;79.91992141;54.44395276
BRUMADO;Diesel TPP;-27.101462;-48.865029;0.33323259;1.64921892;0.991225755;0.177347514;0.555764184;0.366555849;0.149107464;0.37841667;0.263762067;0.018073632;0.048572886;0.033323259;4.66526E-11;0.048572886;0.024286443;28.88957115;79.70358752;54.29657933
ITAÚ MOOCA;Diesel TPP;-23.557717;-46.614142;0.33013155;1.6338714;0.982001475;0.17569713;0.55059228;0.363144705;0.14771988;0.37489515;0.261307515;0.01790544;0.04812087;0.033013155;4.62184E-11;0.04812087;0.024060435;28.62072675;78.96187131;53.79129903
MAUÉS;Diesel TPP;-3.395058;-57.706983;0.30157614;1.49254632;0.89706123;0.160499844;0.502967664;0.331733754;0.134942544;0.34246782;0.238705182;0.016356672;0.043958556;0.030157614;4.22207E-11;0.043958556;0.021979278;26.1451179;72.13190123;49.13850956
ARACATI;Diesel TPP;-4.566349;-37.763770;0.29666616;1.46824608;0.88245612;0.157886736;0.494778816;0.326332776;0.132745536;0.33689208;0.234818808;0.016090368;0.043242864;0.029666616;4.15333E-11;0.043242864;0.021621432;25.7194476;70.95751723;48.33848242
BATURITÉ;Diesel TPP;-4.328580;-38.879105;0.29666616;1.46824608;0.88245612;0.157886736;0.494778816;0.326332776;0.132745536;0.33689208;0.234818808;0.016090368;0.043242864;0.029666616;4.15333E-11;0.043242864;0.021621432;25.7194476;70.95751723;48.33848242
CATERPILLAR;Diesel TPP;-22.743927;-47.667837;0.29666616;1.46824608;0.88245612;0.157886736;0.494778816;0.326332776;0.132745536;0.33689208;0.234818808;0.016090368;0.043242864;0.029666616;4.15333E-11;0.043242864;0.021621432;25.7194476;70.95751723;48.33848242
BOCA DO ACRE;Diesel TPP;-8.779490;-67.361449;0.2920146;1.4452248;0.8686197;0.15541116;0.48702096;0.32121606;0.13066416;0.3316098;0.23113698;0.01583808;0.04256484;0.02920146;4.0882E-11;0.04256484;0.02128242;25.316181;69.84494292;47.58056196
CARACARAÍ;Diesel TPP;1.825310;-61.140633;0.283124952;1.401228576;0.842176764;0.150680059;0.472194835;0.311437447;0.126686419;0.321514776;0.224100598;0.01535593;0.041269061;0.028312495;3.96375E-11;0.041269061;0.02063453;24.54549372;67.71868979;46.13209176
COLORADO DO OESTE;Diesel TPP;-13.127585;-60.532022;0.282866532;1.399949616;0.841408074;0.150542527;0.471763843;0.311153185;0.126570787;0.321221316;0.223896052;0.015341914;0.041231393;0.028286653;3.96013E-11;0.041231393;0.020615696;24.52309002;67.65688011;46.08998506
BRASÍLIA;Diesel TPP;-15.846971;-48.134780;0.25842;1.27896;0.76869;0.137532;0.430992;0.284262;0.115632;0.29346;0.204546;0.014016;0.037668;0.025842;3.61788E-11;0.037668;0.018834;22.4037;61.809684;42.106692
ALCOA BENEFICIAMENTO;Diesel TPP;-2.154843;-56.082131;0.253975176;1.256961888;0.755468532;0.13516645;0.423578938;0.279372694;0.11364313;0.288412488;0.201027809;0.013774925;0.03702011;0.025397518;3.55565E-11;0.03702011;0.018510055;22.01835636;60.74655744;41.3824569
