Name;Sector;Lat;Long;CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
LAFARGE BRASIL S.A 07 - MG;Portland cement;-20.293813;-45.551920;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 08 - RJ;Portland cement;-21.979968;-42.362822;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 09 - SP;Portland cement;-23.995618;-48.866156;1400;1633.333333;1516.666667
CIA DE CIMENTOS ITAMBÉ - PR;Portland cement;-25.576212;-49.644689;2340;2730;2535
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 01 - BA;Portland cement;-14.186072;-41.666985;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 02 -SP;Portland cement;-24.702021;-48.116842;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 03 - BA;Portland cement;-10.517069;-40.329912;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 04 - RS;Portland cement;-31.307315;-54.111791;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 05 -GO;Portland cement;-16.976296;-49.769378;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 06 - PB;Portland cement;-7.161428;-34.921599;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 07 - RS;Portland cement;-29.845837;-51.268496;2836.349325;3309.074213;3072.711769
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 08 -AL;Portland cement;-9.773040;-36.109813;2836.349325;3309.074213;3072.711769
CIMENTOS NASSAU 01 - PI;Portland cement;-7.080009;-40.468117;1280;1493.333333;1386.666667
CIMENTOS NASSAU 02 -MA;Portland cement;-4.475265;-43.883534;1280;1493.333333;1386.666667
CIMENTOS NASSAU 03 -RN;Portland cement;-5.123838;-37.279412;1280;1493.333333;1386.666667
CIMENTOS NASSAU 03 -PE;Portland cement;-8.011154;-34.909033;1280;1493.333333;1386.666667
CIMENTOS NASSAU 04 -SE;Portland cement;-10.852390;-37.125244;1280;1493.333333;1386.666667
CIMENTOS NASSAU 05 -ES;Portland cement;-20.855907;-41.130535;1280;1493.333333;1386.666667
CIMENTOS NASSAU 06 -CE;Portland cement;-7.298959;-39.303019;1280;1493.333333;1386.666667
CIMENTOS NASSAU 10 -PA;Portland cement;-1.207739;-47.170325;1280;1493.333333;1386.666667
CIMENTOS NASSAU 07 -AM;Portland cement;-3.056088;-59.849599;1280;1493.333333;1386.666667
CIMENTOS NASSAU 08 -PA;Portland cement;-4.267029;-56.007272;1280;1493.333333;1386.666667
CIMENTOS NASSAU 09 -PA;Portland cement;-1.429743;-48.438010;1280;1493.333333;1386.666667
HOLCIM BRASIL S.A. - CIMENTO – CANTAGALO -RJ;Portland cement;-21.977067;-42.286139;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO – DIVINÓPOLIS -MG;Portland cement;-20.160727;-44.892032;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO – GUARUJÁ -SP;Portland cement;-23.959117;-46.255982;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO - JUIZ DE FORA -MG;Portland cement;-21.753143;-43.389390;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - AGREGADOS – MAGÉ -RJ;Portland cement;-22.653680;-43.052561;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - AGREGADOS – MAIRIPORÃ - SP;Portland cement;-23.336447;-46.586311;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CIMENTO - PEDRO LEOPOLDO -MG;Portland cement;-19.624273;-44.040915;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO - POUSO ALEGRE - MG;Portland cement;-22.231076;-45.920249;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO - RIBEIRÃO PRETO -SP;Portland cement;-21.178525;-47.868254;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO - SÃO JOSÉ DOS CAMPOS -SP;Portland cement;-23.208757;-45.926235;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CONCRETO - SÃO VICENTE -SP;Portland cement;-23.959126;-46.423138;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CIMENTO – VITÓRIA -ES;Portland cement;-20.242077;-40.238906;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - AGREGADOS – SOROCABA -SP;Portland cement;-23.484882;-47.468896;668.5714286;780;724.2857143
HOLCIM BRASIL S.A. - CIMENTO – SOROCABA -SP;Portland cement;-23.475375;-47.486575;668.5714286;780;724.2857143
CIPLAN CIMENTO 01 -SP ;Portland cement;-21.180156;-47.846477;360;420;390
CIPLAN CIMENTO 02 -MG;Portland cement;-19.727424;-47.957490;360;420;390
CIPLAN CIMENTO 03 -MG;Portland cement;-18.862349;-48.283316;360;420;390
CIPLAN CIMENTO 04 -SP;Portland cement;-16.402601;-48.934383;360;420;390
CIPLAN CIMENTO 04 -GO;Portland cement;-17.740948;-48.637597;360;420;390
CIPLAN CIMENTO 05 -GO;Portland cement;-16.708853;-49.205520;360;420;390
CIPLAN CIMENTO 06 -GO;Portland cement;-16.064671;-47.965549;360;420;390
CIPLAN CIMENTO 07 -MT;Portland cement;-15.654575;-55.992037;360;420;390
CIPLAN CIMENTO 08 -TO;Portland cement;-10.251419;-48.316118;360;420;390
CIPLAN CIMENTO 09 -MA;Portland cement;-2.577543;-44.184681;360;420;390
CIPLAN CIMENTO 10 -CE;Portland cement;-3.821836;-38.534104;360;420;390
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 01 - SP;Portland cement;-24.520263;-48.857340;5820;6790;6305
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 02 - MS;Portland cement;-20.539534;-56.712387;5820;6790;6305
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;5820;6790;6305
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;5820;6790;6305
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;5820;6790;6305
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;5820;6790;6305
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;5.457736667;5.457736667;5.457736667
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;5.457736667;5.457736667;5.457736667
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;5.457736667;5.457736667;5.457736667
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;97.8945;97.8945;97.8945
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;97.8945;97.8945;97.8945
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;97.8945;97.8945;97.8945
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;97.8945;97.8945;97.8945
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;97.8945;97.8945;97.8945
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;97.8945;97.8945;97.8945
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;97.8945;97.8945;97.8945
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;97.8945;97.8945;97.8945
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;45.93513333;45.93513333;45.93513333
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;45.93513333;45.93513333;45.93513333
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;45.93513333;45.93513333;45.93513333
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;66.35882;66.35882;66.35882
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;14.96694;14.96694;14.96694
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;14.96694;14.96694;14.96694
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;14.96694;14.96694;14.96694
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;14.96694;14.96694;14.96694
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;14.96694;14.96694;14.96694
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;14.96694;14.96694;14.96694
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;14.96694;14.96694;14.96694
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;14.96694;14.96694;14.96694
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;14.96694;14.96694;14.96694
KLABIN 11 - SP;Paper and cellulose;-23.172452;-46.929145;14.96694;14.96694;14.96694
KLABIN 12 - SC;Paper and cellulose;-27.802817;-50.362837;14.96694;14.96694;14.96694
KLABIN 13 - SC;Paper and cellulose;-27.751155;-50.337534;14.96694;14.96694;14.96694
KLABIN 14 - PR;Paper and cellulose;-24.306558;-50.610461;14.96694;14.96694;14.96694
KLABIN 15 - SC;Paper and cellulose;-27.512968;-50.116357;14.96694;14.96694;14.96694
KLABIN 16 - SP;Paper and cellulose;-22.687395;-47.674515;14.96694;14.96694;14.96694
KLABIN 17 - MG;Paper and cellulose;-20.421737;-42.899126;14.96694;14.96694;14.96694
KLABIN 18 - RS;Paper and cellulose;-29.782408;-51.119724;14.96694;14.96694;14.96694
LWARCEL - SP;Paper and cellulose;-22.570501;-48.776750;37.91187;37.91187;37.91187
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.539539;-46.270172;11.122335;11.122335;11.122335
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.370477;-46.759478;11.122335;11.122335;11.122335
NOBRECEL - SP;Paper and cellulose;-22.899835;-45.349155;10.50498;10.50498;10.50498
PRIMO TEDESCO - SC;Paper and cellulose;-26.782639;-51.044326;5.039225;5.039225;5.039225
PRIMO TEDESCO - RS;Paper and cellulose;-29.961783;-51.189878;5.039225;5.039225;5.039225
SANTHER  -SP;Paper and cellulose;-23.533242;-46.547686;8.5;8.5;8.5
SANTHER  - MG;Paper and cellulose;-18.716729;-42.238401;8.5;8.5;8.5
SANTHER - RS;Paper and cellulose;-30.167960;-51.333678;8.5;8.5;8.5
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;8.5;8.5;8.5
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;51.49358286;51.49358286;51.49358286
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;51.49358286;51.49358286;51.49358286
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;51.49358286;51.49358286;51.49358286
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;51.49358286;51.49358286;51.49358286
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;28.13456286;28.13456286;28.13456286
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;28.13456286;28.13456286;28.13456286
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;28.13456286;28.13456286;28.13456286
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;28.13456286;28.13456286;28.13456286
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;18.63608;18.63608;18.63608
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;4.79332;4.79332;4.79332
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;4.79332;4.79332;4.79332
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;4.79332;4.79332;4.79332
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;4.79332;4.79332;4.79332
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;29.54736;29.54736;29.54736
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;14.0097;14.0097;14.0097
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;93.53026;93.53026;93.53026
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;155.088;202.176;178.632
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;62.0352;80.8704;71.4528
BATATAIS;Bagasse TPP;-20.745982;-47.569336;8.064576;10.513152;9.288864
CAETÉ;Bagasse TPP;-9.776442;-36.086844;74.028672;96.505344;85.267008
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;218.15712;284.39424;251.27568
