Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;0.025;0.05;0.0375;0.175;0.35;0.2625;0.275;0.55;0.4125;0.0125;1.4;0.70625;0.185;0.185;0.185;8.5;8.5;8.5
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;0.151451714;0.302903429;0.227177571;1.060162;2.120324;1.590243;1.665968857;3.331937714;2.498953286;0.075725857;8.481296;4.278510929;1.120742686;1.120742686;1.120742686;51.49358286;51.49358286;51.49358286
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;0.082748714;0.165497429;0.124123071;0.579241;1.158482;0.8688615;0.910235857;1.820471714;1.365353786;0.041374357;4.633928;2.337651179;0.612340486;0.612340486;0.612340486;28.13456286;28.13456286;28.13456286
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;0.054812;0.109624;0.082218;0.383684;0.767368;0.575526;0.602932;1.205864;0.904398;0.027406;3.069472;1.548439;0.4056088;0.4056088;0.4056088;18.63608;18.63608;18.63608
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;0.014098;0.028196;0.021147;0.098686;0.197372;0.148029;0.155078;0.310156;0.232617;0.007049;0.789488;0.3982685;0.1043252;0.1043252;0.1043252;4.79332;4.79332;4.79332
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;0.014098;0.028196;0.021147;0.098686;0.197372;0.148029;0.155078;0.310156;0.232617;0.007049;0.789488;0.3982685;0.1043252;0.1043252;0.1043252;4.79332;4.79332;4.79332
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;0.014098;0.028196;0.021147;0.098686;0.197372;0.148029;0.155078;0.310156;0.232617;0.007049;0.789488;0.3982685;0.1043252;0.1043252;0.1043252;4.79332;4.79332;4.79332
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;0.014098;0.028196;0.021147;0.098686;0.197372;0.148029;0.155078;0.310156;0.232617;0.007049;0.789488;0.3982685;0.1043252;0.1043252;0.1043252;4.79332;4.79332;4.79332
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;0.086904;0.173808;0.130356;0.608328;1.216656;0.912492;0.955944;1.911888;1.433916;0.043452;4.866624;2.455038;0.6430896;0.6430896;0.6430896;29.54736;29.54736;29.54736
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;0.041205;0.08241;0.0618075;0.288435;0.57687;0.4326525;0.453255;0.90651;0.6798825;0.0206025;2.30748;1.16404125;0.304917;0.304917;0.304917;14.0097;14.0097;14.0097
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;0.275089;0.550178;0.4126335;1.925623;3.851246;2.8884345;3.025979;6.051958;4.5389685;0.1375445;15.404984;7.77126425;2.0356586;2.0356586;2.0356586;93.53026;93.53026;93.53026
