Name;Sector;Lat;Long;SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year)
LAFARGE BRASIL S.A 06 - MG;Portland cement;-16.704932;-43.894976;0.21;3.811111111;2.010555556
LAFARGE BRASIL S.A 07 - MG;Portland cement;-20.293813;-45.551920;0.21;3.811111111;2.010555556
LAFARGE BRASIL S.A 08 - RJ;Portland cement;-21.979968;-42.362822;0.21;3.811111111;2.010555556
LAFARGE BRASIL S.A 09 - SP;Portland cement;-23.995618;-48.866156;0.21;3.811111111;2.010555556
CIA DE CIMENTOS ITAMBÉ - PR;Portland cement;-25.576212;-49.644689;0.351;6.37;3.3605
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 01 - BA;Portland cement;-14.186072;-41.666985;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 02 -SP;Portland cement;-24.702021;-48.116842;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 03 - BA;Portland cement;-10.517069;-40.329912;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 04 - RS;Portland cement;-31.307315;-54.111791;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 05 -GO;Portland cement;-16.976296;-49.769378;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 06 - PB;Portland cement;-7.161428;-34.921599;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 07 - RS;Portland cement;-29.845837;-51.268496;0.425452399;7.721173163;4.073312781
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 08 -AL;Portland cement;-9.773040;-36.109813;0.425452399;7.721173163;4.073312781
CIMENTOS NASSAU 01 - PI;Portland cement;-7.080009;-40.468117;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 02 -MA;Portland cement;-4.475265;-43.883534;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 03 -RN;Portland cement;-5.123838;-37.279412;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 03 -PE;Portland cement;-8.011154;-34.909033;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 04 -SE;Portland cement;-10.852390;-37.125244;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 05 -ES;Portland cement;-20.855907;-41.130535;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 06 -CE;Portland cement;-7.298959;-39.303019;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 10 -PA;Portland cement;-1.207739;-47.170325;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 07 -AM;Portland cement;-3.056088;-59.849599;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 08 -PA;Portland cement;-4.267029;-56.007272;0.192;3.484444444;1.838222222
CIMENTOS NASSAU 09 -PA;Portland cement;-1.429743;-48.438010;0.192;3.484444444;1.838222222
HOLCIM BRASIL S.A. - CIMENTO – CANTAGALO -RJ;Portland cement;-21.977067;-42.286139;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO – DIVINÓPOLIS -MG;Portland cement;-20.160727;-44.892032;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO – GUARUJÁ -SP;Portland cement;-23.959117;-46.255982;0.100285714;1.82;0.960142857
HOLCIM BRASIL S.A. - CONCRETO - JUIZ DE FORA -MG;Portland cement;-21.753143;-43.389390;0.100285714;1.82;0.960142857
