Name;Sector;Lat;Long;CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year)
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;0.388;11.96333333;6.175666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;0.388;11.96333333;6.175666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;0.388;11.96333333;6.175666667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;0.388;11.96333333;6.175666667
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.176573833;0.353147667;0.26486075
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.176573833;0.353147667;0.26486075
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.176573833;0.353147667;0.26486075
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;3.167175;6.33435;4.7507625
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;3.167175;6.33435;4.7507625
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;3.167175;6.33435;4.7507625
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;3.167175;6.33435;4.7507625
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;3.167175;6.33435;4.7507625
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;3.167175;6.33435;4.7507625
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;3.167175;6.33435;4.7507625
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;3.167175;6.33435;4.7507625
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;1.486136667;2.972273333;2.229205
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;1.486136667;2.972273333;2.229205
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;1.486136667;2.972273333;2.229205
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;2.146903;4.293806;3.2203545
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.484224529;0.968449059;0.726336794
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.484224529;0.968449059;0.726336794
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.484224529;0.968449059;0.726336794
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.484224529;0.968449059;0.726336794
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.484224529;0.968449059;0.726336794
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.484224529;0.968449059;0.726336794
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.484224529;0.968449059;0.726336794
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;0.484224529;0.968449059;0.726336794
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;0.484224529;0.968449059;0.726336794
KLABIN 11 - SP;Paper and cellulose;-23.172452;-46.929145;0.484224529;0.968449059;0.726336794
KLABIN 12 - SC;Paper and cellulose;-27.802817;-50.362837;0.484224529;0.968449059;0.726336794
KLABIN 13 - SC;Paper and cellulose;-27.751155;-50.337534;0.484224529;0.968449059;0.726336794
KLABIN 14 - PR;Paper and cellulose;-24.306558;-50.610461;0.484224529;0.968449059;0.726336794
KLABIN 15 - SC;Paper and cellulose;-27.512968;-50.116357;0.484224529;0.968449059;0.726336794
KLABIN 16 - SP;Paper and cellulose;-22.687395;-47.674515;0.484224529;0.968449059;0.726336794
KLABIN 17 - MG;Paper and cellulose;-20.421737;-42.899126;0.484224529;0.968449059;0.726336794
KLABIN 18 - RS;Paper and cellulose;-29.782408;-51.119724;0.484224529;0.968449059;0.726336794
LWARCEL - SP;Paper and cellulose;-22.570501;-48.776750;1.2265605;2.453121;1.83984075
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.539539;-46.270172;0.35984025;0.7196805;0.539760375
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.370477;-46.759478;0.35984025;0.7196805;0.539760375
NOBRECEL - SP;Paper and cellulose;-22.899835;-45.349155;0.339867;0.679734;0.5098005
PRIMO TEDESCO - SC;Paper and cellulose;-26.782639;-51.044326;0.16303375;0.3260675;0.244550625
PRIMO TEDESCO - RS;Paper and cellulose;-29.961783;-51.189878;0.16303375;0.3260675;0.244550625
SANTHER  -SP;Paper and cellulose;-23.533242;-46.547686;0.275;0.55;0.4125
SANTHER  - MG;Paper and cellulose;-18.716729;-42.238401;0.275;0.55;0.4125
SANTHER - RS;Paper and cellulose;-30.167960;-51.333678;0.275;0.55;0.4125
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;0.275;0.55;0.4125
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;1.665968857;3.331937714;2.498953286
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;1.665968857;3.331937714;2.498953286
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;1.665968857;3.331937714;2.498953286
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;1.665968857;3.331937714;2.498953286
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;1.665968857;3.331937714;2.498953286
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;1.665968857;3.331937714;2.498953286
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;1.665968857;3.331937714;2.498953286
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;0.910235857;1.820471714;1.365353786
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;0.910235857;1.820471714;1.365353786
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;0.910235857;1.820471714;1.365353786
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;0.910235857;1.820471714;1.365353786
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;0.910235857;1.820471714;1.365353786
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;0.910235857;1.820471714;1.365353786
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;0.910235857;1.820471714;1.365353786
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;0.602932;1.205864;0.904398
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;0.155078;0.310156;0.232617
