Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
VOTORANTIM 23 - SC;Portland cement;-28.437942;-48.964934;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 24 -SC;Portland cement;-28.233396;-48.661437;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 25 - SC;Portland cement;-26.859714;-48.667429;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 26- SC;Portland cement;-28.426057;-48.938896;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 27 - SE;Portland cement;-10.797551;-37.166303;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 28 - SP;Portland cement;-24.111268;-48.371378;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 29 - SP;Portland cement;-23.514500;-46.883592;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 30 - SP;Portland cement;-23.366762;-46.878889;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 31 - SP;Portland cement;-23.855934;-46.412328;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 32 - SP;Portland cement;-23.985875;-48.917429;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 33 - SP;Portland cement;-22.583292;-47.357917;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 34 - SP;Portland cement;-23.648340;-47.550557;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 35 - SP;Portland cement;-23.561382;-47.432024;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
VOTORANTIM 36 - TO;Portland cement;-6.433164;-48.428544;1.586666667;2.795555556;2.191111111;0.204;3.702222222;1.953111111;0.090666667;2.795555556;1.443111111;0.128444444;147.4164444;73.77244444;0.021155556;0.136;0.078577778;1360;1586.666667;1473.333333
LAFARGE BRASIL S.A 01 - PB;Portland cement;-7.514879;-34.905828;1.633333333;2.877777778;2.255555556;0.21;3.811111111;2.010555556;0.093333333;2.877777778;1.485555556;0.132222222;151.7522222;75.94222222;0.021777778;0.14;0.080888889;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 02 - BA;Portland cement;-12.647861;-38.543936;1.633333333;2.877777778;2.255555556;0.21;3.811111111;2.010555556;0.093333333;2.877777778;1.485555556;0.132222222;151.7522222;75.94222222;0.021777778;0.14;0.080888889;1400;1633.333333;1516.666667
LAFARGE BRASIL S.A 03 - GO;Portland cement;-15.788728;-48.769633;1.633333333;2.877777778;2.255555556;0.21;3.811111111;2.010555556;0.093333333;2.877777778;1.485555556;0.132222222;151.7522222;75.94222222;0.021777778;0.14;0.080888889;1400;1633.333333;1516.666667
